"data","curs"
"08.04.2020",75.455
"07.04.2020",76.4074
"28.03.2020",77.7325
"27.03.2020",78.7223
"26.03.2020",77.7928
"25.03.2020",78.8493
"24.03.2020",80.8815
"21.03.2020",78.0443
"20.03.2020",80.157
"19.03.2020",77.2131
"18.03.2020",73.8896
"17.03.2020",74.1262
"14.03.2020",73.1882
"13.03.2020",74.0274
"12.03.2020",71.472
"11.03.2020",72.0208
"07.03.2020",67.5175
"06.03.2020",66.1854
"05.03.2020",66.0784
"04.03.2020",66.4437
"03.03.2020",66.3274
"29.02.2020",66.9909
"28.02.2020",65.6097
"27.02.2020",65.5177
"26.02.2020",64.9213
"22.02.2020",64.3008
"21.02.2020",63.7413
"20.02.2020",63.6873
"19.02.2020",63.7698
"18.02.2020",63.3085
"15.02.2020",63.4536
"14.02.2020",63.6016
"13.02.2020",63.047
"12.02.2020",63.949
"11.02.2020",63.7708
"08.02.2020",63.472
"07.02.2020",62.7977
"06.02.2020",63.1742
"05.02.2020",63.4342
"04.02.2020",63.9091
"01.02.2020",63.1385
"31.01.2020",63.0359
"30.01.2020",62.3934
"29.01.2020",62.8299
"28.01.2020",62.338
"25.01.2020",61.8031
"24.01.2020",61.9515
"23.01.2020",61.8343
"22.01.2020",61.8552
"21.01.2020",61.4654
"18.01.2020",61.5333
"17.01.2020",61.5694
"16.01.2020",61.4328
"15.01.2020",61.414
"14.01.2020",60.9474
"11.01.2020",61.2632
"10.01.2020",61.234
"01.01.2020",61.9057
"31.12.2019",61.9057
"28.12.2019",62.0315
"27.12.2019",61.7676
"26.12.2019",61.7164
"25.12.2019",62.1673
"24.12.2019",62.2499
"21.12.2019",62.4071
"20.12.2019",62.5283
"19.12.2019",62.5831
"18.12.2019",62.5326
"17.12.2019",62.7686
"14.12.2019",62.5544
"13.12.2019",63.2257
"12.12.2019",63.5653
"11.12.2019",63.5788
"10.12.2019",63.7244
"07.12.2019",63.7185
"06.12.2019",63.8135
"05.12.2019",64.1948
"04.12.2019",64.1401
"03.12.2019",64.4097
"30.11.2019",64.0817
"29.11.2019",64.1005
"28.11.2019",63.9722
"27.11.2019",64.0239
"26.11.2019",63.7637
"23.11.2019",63.7101
"22.11.2019",63.843
"21.11.2019",64.0213
"20.11.2019",63.773
"19.11.2019",63.7542
"16.11.2019",63.8881
"15.11.2019",64.2101
"14.11.2019",64.2009
"13.11.2019",63.853
"12.11.2019",63.9121
"09.11.2019",63.7295
"08.11.2019",63.7298
"07.11.2019",63.588
"06.11.2019",63.248
"02.11.2019",64.0316
"01.11.2019",63.7748
"31.10.2019",63.8734
"30.10.2019",63.832
"29.10.2019",63.87
"26.10.2019",63.9966
"25.10.2019",63.86
"24.10.2019",63.7997
"23.10.2019",63.6336
"22.10.2019",63.7606
"19.10.2019",63.9542
"18.10.2019",64.0144
"17.10.2019",64.3455
"16.10.2019",64.2548
"15.10.2019",64.3652
"12.10.2019",64.2237
"11.10.2019",64.7416
"10.10.2019",65.0976
"09.10.2019",64.8672
"08.10.2019",64.8259
"05.10.2019",65.03
"04.10.2019",65.1312
"03.10.2019",65.4399
"02.10.2019",65.067
"01.10.2019",64.6407
"28.09.2019",64.4156
"27.09.2019",64.2888
"26.09.2019",64.1873
"25.09.2019",63.706
"24.09.2019",63.9453
"21.09.2019",63.8487
"20.09.2019",64.2199
"19.09.2019",64.429
"18.09.2019",64.1213
"17.09.2019",63.8272
"14.09.2019",64.4711
"13.09.2019",65.1909
"12.09.2019",65.4321
"11.09.2019",65.4393
"10.09.2019",65.5698
"07.09.2019",65.9981
"06.09.2019",66.0528
"05.09.2019",66.5002
"04.09.2019",66.9072
"03.09.2019",66.6235
"31.08.2019",66.4897
"30.08.2019",66.7471
"29.08.2019",66.4127
"28.08.2019",66.2608
"27.08.2019",65.9735
"24.08.2019",65.6046
"23.08.2019",65.6196
"22.08.2019",66.263
